title,artist,genre
Feel Good,Felix Jaehn,pop
IDGAF - Hazers Remix,Dua Lipa,pop
Breathe (feat. Ina Wroldsen),Jax Jones,pop
Rockstar,Ilkay Sencan,pop
Jackie Chan,Tiësto,pop
Moonlight,Gaullin,pop
All I Wanna Do,Martin Jensen,pop
Sweet but Psycho,Ava Max,pop
Melody - ANGEMI Remix,Lost Frequencies,pop
High On Life (feat. Bonn),Martin Garrix,pop
So Am I,Ava Max,pop
I Know You - Vigiland Remix,Craig David,pop
Through To You,Lyente,pop
Burn Out (feat. Dewain Whitmore),Martin Garrix,pop
Penny,Dimitri Vangelis & Wyman,pop
Wait For Me,Steve Brian,pop
bad guy,Billie Eilish,pop
Daylight (Airbeat One Anthem 2018),Fluex,pop
Imagine,Rob Tirea,pop
Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN,pop
Glitch,Martin Garrix,pop
Brand New (Helium),Lvly,pop
Shades Of Voices (Original Mix),PULLER,pop
In Time,CAZZETTE,pop
Halfway There (feat. Lena Leon),Tiësto,pop
Spirit Of Freedom,Dropgun,pop
Mama Look at Me Now,Galantis,pop
Toxic Rain - No Class Remix,Alicia Madison,pop
The Beat,Mike Williams,pop
Wild Wild Son,Armin van Buuren,pop
Waiting For Love,Avicii,pop
Shelter (Mix Cut) - Yoel Lewis Remix,Dash Berlin,pop
Like I Do,David Guetta,pop
Skyline,Catiso,pop
Callin' - Extended Mix,Lush & Simon,pop
Roads,Vargas & Lagola,pop
Jackie Chan,Tiësto,pop
Came Here for Love,Sigala,pop
Kids in Love - Don Diablo Remix,Kygo,pop
Let You Down - Chris Royal Remix,Bombs Away,pop
Mercury,Catiso,pop
Different Place,STVCKS,pop
One Last Time,Ariana Grande,pop
I Feel The Love,Tritonal,pop
No Brainer,DJ Khaled,pop
Sun Is Shining,Axwell /\ Ingrosso,pop
Breathe,Jax Jones,pop
In the Name of Love,Martin Garrix,pop
Pure Gold,oomiee,pop
Turning Up,ARASHI,pop
Winter Hitori feat. ASOBOiSM,Shinn Yamada,pop
9と4分の3番線で君を待つ (Run Away) - Japanese Ver.,TOMORROW X TOGETHER,pop
